City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,inhambane,-23.865,35.3833,28.99,65,40,5.14,MZ,1675442170
171,petit goave,18.4314,-72.8669,26.7,62,75,1.45,HT,1675442171
172,westport,41.1415,-73.3579,-3.72,32,0,8.75,US,1675442170
173,matagami,49.7502,-77.6328,-33.94,62,100,6.17,CA,1675442172
174,gamba,-2.65,10.0,27.54,82,32,3.72,GA,1675442173
175,shingu,33.7333,135.9833,3.27,57,2,2.64,JP,1675442173
176,cudahy,33.9606,-118.1853,18.01,48,0,1.54,US,1675442174
177,stokmarknes,68.5646,14.9108,-4.02,79,0,4.12,NO,1675442174
178,slavgorod,52.9978,78.6449,-21.13,100,40,1.92,RU,1675442175
179,nouakchott,18.0858,-15.9785,29.96,31,100,3.3,MR,1675442117
180,lodja,-3.4833,23.4333,23.92,78,77,0.85,CD,1675442176
181,san jose,37.3394,-121.895,10.18,85,100,5.66,US,1675442089
182,road town,18.4167,-64.6167,28.05,61,40,5.14,VG,1675442178
183,roald,62.5833,6.1333,1.29,75,0,3.6,NO,1675442178
184,santa cruz,-17.8,-63.1667,22.03,88,100,6.69,BO,1675442179
185,pontianak,-0.0333,109.3333,24.99,94,75,1.03,ID,1675442179
186,vostok,46.4856,135.8833,-22.68,99,100,2.07,RU,1675442180
187,pevek,69.7008,170.3133,-30.45,99,23,0.36,RU,1675442180
188,butembo,0.15,29.2833,18.56,61,99,1.18,CD,1675442181
189,kawalu,-7.3817,108.2082,23.31,92,100,0.92,ID,1675442181
190,ancud,-41.8697,-73.8203,21.34,64,0,3.26,CL,1675442182
191,georgetown,5.4112,100.3354,25.96,92,20,1.54,MY,1675442162
192,bonawon,9.134,122.9193,25.32,83,13,4.4,PH,1675442183
193,ternate,0.8,127.4,25.66,83,100,2.28,ID,1675442183
194,touros,-5.1989,-35.4608,30.05,60,80,7.21,BR,1675442141
195,olafsvik,64.8945,-23.7142,6.68,83,100,21.63,IS,1675442185
196,sambava,-14.2667,50.1667,26.12,87,10,3.51,MG,1675442187
197,biu,10.6129,12.1946,30.08,12,69,4.0,NG,1675442187
198,nome,64.5011,-165.4064,-28.96,91,0,0.0,US,1675442188
199,cidreira,-30.1811,-50.2056,27.88,66,100,3.53,BR,1675442188
200,kurchum,48.5722,83.6542,-5.92,92,100,0.74,KZ,1675442189
201,lanzhou,36.0564,103.7922,0.53,34,47,0.84,CN,1675441919
202,port hardy,50.6996,-127.4199,7.1,81,100,8.75,CA,1675442190
203,hami,42.8,93.45,-2.4,45,61,1.61,CN,1675442190
204,los llanos de aridane,28.6585,-17.9182,18.86,70,20,3.09,ES,1675442191
205,mansa,29.9833,75.3833,13.43,47,0,1.2,IN,1675442191
206,hobyo,5.3505,48.5268,25.01,69,24,7.85,SO,1675442192
207,bambanglipuro,-7.95,110.2833,25.65,87,100,4.09,ID,1675442193
208,tuatapere,-46.1333,167.6833,16.56,94,34,2.08,NZ,1675442193
209,longyearbyen,78.2186,15.6401,-12.09,56,75,2.06,SJ,1675442194
210,namibe,-15.1961,12.1522,23.41,75,84,3.66,AO,1675442194
211,mongo,12.1844,18.693,30.84,13,64,3.92,TD,1675442195
212,bardiyah,31.7561,25.0865,14.02,73,32,8.11,LY,1675442196
213,vila franca do campo,37.7167,-25.4333,17.23,83,82,5.13,PT,1675442196
214,ishigaki,24.3448,124.1572,17.07,94,100,3.09,JP,1675442197
215,kununurra,-15.7667,128.7333,25.99,94,66,0.0,AU,1675442198
216,san patricio,28.017,-97.5169,9.95,62,0,4.76,US,1675442198
217,mao,39.8885,4.2658,12.31,62,0,5.14,ES,1675442199
218,sao miguel do araguaia,-13.275,-50.1628,29.52,63,100,1.84,BR,1675441950
219,carlyle,38.6103,-89.3726,-6.66,27,2,4.22,US,1675442199
220,tiznit,29.5833,-9.5,15.44,20,0,1.09,MA,1675442200
221,serebryanyy bor,56.8,124.8,-24.63,99,100,1.35,RU,1675442200
222,muromtsevo,56.3724,75.2418,-13.47,99,96,1.17,RU,1675442201
223,jadu,31.953,12.0261,11.61,46,14,6.23,LY,1675442201
224,broken hill,-31.95,141.4333,12.92,51,1,4.41,AU,1675442202
225,cabo san lucas,22.8909,-109.9124,20.9,51,0,1.54,MX,1675442153
226,praia da vitoria,38.7333,-27.0667,18.14,77,40,7.54,PT,1675442203
